GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
Id,Id2,Geography,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One race,Percent; RACE - Total population - One race,Number; RACE - Total population - One race - White,Percent; RACE - Total population - One race - White,Number; RACE - Total population - One race - Black or African American,Percent; RACE - Total population - One race - Black or African American,Number; RACE - Total population - One race - American Indian and Alaska Native,Percent; RACE - Total population - One race - American Indian and Alaska Native,"Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Percent; RACE - Total population - One race - American Indian and Alaska Native - Both American Indian and Alaska Native, specified [1]","Number; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified","Percent; RACE - Total population - One race - American Indian and Alaska Native - American Indian or Alaska Native, not specified",Number; RACE - Total population - One race - Asian,Percent; RACE - Total population - One race - Asian,Number; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE - Total population - One race - Native Hawaiian and Other Pacific Islander,Number; RACE - Total population - One race - Some Other Race,Percent; RACE - Total population - One race - Some Other Race,Number; RACE - Total population - Two or More Races,Percent; RACE - Total population - Two or More Races,Number; RACE - Total population - Two or More Races - Two races with Some Other Race,Percent; RACE - Total population - Two or More Races - Two races with Some Other Race,Number; RACE - Total population - Two or More Races - Two races without Some Other Race,Percent; RACE - Total population - Two or More Races - Two races without Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races with Some Other Race,Number; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Percent; RACE - Total population - Two or More Races - Three or more races without Some Other Race,Number; HISPANIC OR LATINO - Total population,Percent; HISPANIC OR LATINO - Total population,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Mexican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Puerto Rican,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Cuban,Number; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Percent; HISPANIC OR LATINO - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino [2],Number; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO - Total population - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population,Percent; RACE AND HISPANIC OR LATINO - Total population,Number; RACE AND HISPANIC OR LATINO - Total population - One race,Percent; RACE AND HISPANIC OR LATINO - Total population - One race,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - One race - Not Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Hispanic or Latino,Number; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino,Percent; RACE AND HISPANIC OR LATINO - Total population - Two or More Races - Not Hispanic or Latino
620L200US36001,36001,"Assembly District 1 (2010), New York",149382,100.0,146799,98.3,132928,89.0,6121,4.1,278,0.2,161,0.1,1,0.0,0,0.0,116,0.1,2868,1.9,78,0.1,4526,3.0,2583,1.7,689,0.5,1709,1.1,27,0.0,158,0.1,149382,100.0,14274,9.6,1443,1.0,3899,2.6,361,0.2,8571,5.7,135108,90.4,149382,100.0,146799,98.3,13452,9.0,133347,89.3,2583,1.7,822,0.6,1761,1.2
620L200US36002,36002,"Assembly District 2 (2010), New York",142833,100.0,139291,97.5,118701,83.1,8315,5.8,1350,0.9,967,0.7,1,0.0,0,0.0,382,0.3,2147,1.5,108,0.1,8670,6.1,3542,2.5,1057,0.7,2167,1.5,65,0.0,253,0.2,142833,100.0,26450,18.5,4105,2.9,4851,3.4,376,0.3,17118,12.0,116383,81.5,142833,100.0,139291,97.5,25112,17.6,114179,79.9,3542,2.5,1338,0.9,2204,1.5
620L200US36003,36003,"Assembly District 3 (2010), New York",143108,100.0,138800,97.0,112964,78.9,12954,9.1,638,0.4,258,0.2,2,0.0,0,0.0,378,0.3,4133,2.9,55,0.0,8056,5.6,4308,3.0,1655,1.2,2354,1.6,68,0.0,231,0.2,143108,100.0,25617,17.9,2420,1.7,7995,5.6,425,0.3,14777,10.3,117491,82.1,143108,100.0,138800,97.0,23662,16.5,115138,80.5,4308,3.0,1955,1.4,2353,1.6
620L200US36004,36004,"Assembly District 4 (2010), New York",137024,100.0,134407,98.1,116434,85.0,5067,3.7,224,0.2,95,0.1,0,0.0,0,0.0,129,0.1,9129,6.7,36,0.0,3517,2.6,2617,1.9,810,0.6,1614,1.2,46,0.0,147,0.1,137024,100.0,13207,9.6,991,0.7,4270,3.1,471,0.3,7475,5.5,123817,90.4,137024,100.0,134407,98.1,12245,8.9,122162,89.2,2617,1.9,962,0.7,1655,1.2
620L200US36005,36005,"Assembly District 5 (2010), New York",131677,100.0,129817,98.6,120816,91.8,2210,1.7,162,0.1,73,0.1,0,0.0,0,0.0,89,0.1,4589,3.5,30,0.0,2010,1.5,1860,1.4,557,0.4,1192,0.9,47,0.0,64,0.0,131677,100.0,10438,7.9,726,0.6,4768,3.6,385,0.3,4559,3.5,121239,92.1,131677,100.0,129817,98.6,9821,7.5,119996,91.1,1860,1.4,617,0.5,1243,0.9
620L200US36006,36006,"Assembly District 6 (2010), New York",145372,100.0,137421,94.5,71005,48.8,27981,19.2,1350,0.9,491,0.3,7,0.0,0,0.0,852,0.6,4585,3.2,62,0.0,32438,22.3,7951,5.5,4768,3.3,2700,1.9,211,0.1,272,0.2,145372,100.0,82153,56.5,2411,1.7,14906,10.3,517,0.4,64319,44.2,63219,43.5,145372,100.0,137421,94.5,76626,52.7,60795,41.8,7951,5.5,5527,3.8,2424,1.7
620L200US36007,36007,"Assembly District 7 (2010), New York",134480,100.0,132886,98.8,124864,92.8,1620,1.2,115,0.1,59,0.0,0,0.0,0,0.0,56,0.0,4980,3.7,11,0.0,1296,1.0,1594,1.2,400,0.3,1128,0.8,10,0.0,56,0.0,134480,100.0,7473,5.6,606,0.5,2720,2.0,337,0.3,3810,2.8,127007,94.4,134480,100.0,132886,98.8,7031,5.2,125855,93.6,1594,1.2,442,0.3,1152,0.9
620L200US36008,36008,"Assembly District 8 (2010), New York",128281,100.0,126052,98.3,116693,91.0,3621,2.8,157,0.1,65,0.1,0,0.0,0,0.0,92,0.1,2894,2.3,24,0.0,2663,2.1,2229,1.7,676,0.5,1386,1.1,60,0.0,107,0.1,128281,100.0,11544,9.0,510,0.4,4522,3.5,390,0.3,6122,4.8,116737,91.0,128281,100.0,126052,98.3,10786,8.4,115266,89.9,2229,1.7,758,0.6,1471,1.1
620L200US36009,36009,"Assembly District 9 (2010), New York",130285,100.0,128179,98.4,115911,89.0,3709,2.8,172,0.1,73,0.1,2,0.0,0,0.0,97,0.1,6274,4.8,34,0.0,2079,1.6,2106,1.6,525,0.4,1425,1.1,45,0.0,111,0.1,130285,100.0,9023,6.9,426,0.3,2928,2.2,400,0.3,5269,4.0,121262,93.1,130285,100.0,128179,98.4,8436,6.5,119743,91.9,2106,1.6,587,0.5,1519,1.2
